technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.07043028,0,1,0.8395621100371152
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.5561476,1,0,0.3056122030228202
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.805860341,1,0,0.2228251411230858
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.25070584,1,0,0.4193559547031137
BareHandIntenSelect,0.21,0.75,0.3,FP11,0.9309611,1,0,0.2416276273775552
BareHandIntenSelect,0.21,0.75,0.3,FP11,1.81999469,1,0,0.3671425156602226
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.62306178,0,1,0.1750700031854612
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.5290792,0,1,0.1438861852545563
BareHandIntenSelect,0.21,0.75,0.3,FP2,0.7926006,1,0,0.3983154091178361
BareHandIntenSelect,0.21,0.75,0.3,FP2,4.18275738,1,0,0.3535269890875966
BareHandIntenSelect,0.21,0.75,0.3,FP2,3.3899684,1,0,0.3660768091383542
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.09708738,1,0,0.0900267296530292
BareHandIntenSelect,0.21,0.75,0.3,FP2,3.63998342,1,0,0.5412611546345364
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.41722608,1,0,0.1671906531607062
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.04143548,1,0,0.2855827577349984
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.56918156,1,0,0.7196366756955974
BareHandIntenSelect,0.21,0.75,0.3,FP2,4.52305555,1,0,0.5157097291970445
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.45856619,0,0,0.32071380049222
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.4597193,1,0,0.8189432478583946
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.43129468,1,0,0.0400064948017838
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.43116188,1,0,0.0175864077689884
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.708587,1,0,0.6252517776963075
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.152761,1,0,0.3966024547128892
BareHandIntenSelect,0.21,0.75,0.3,FP2,3.63886166,1,0,0.1623609095124941
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.56980848,1,0,0.2551233222504321
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.61044025,1,0,0.1184775150224235
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.292404,1,0,0.1808496289284404
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.513974,1,0,0.301485176847495
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.44429731,1,0,0.1980528603363272
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.62509334,1,0,0.2549465302205351
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.22226715,1,0,0.1443628693361503
BareHandIntenSelect,0.21,0.75,0.3,FP2,2.66593647,0,0,0.1967112366221676
BareHandIntenSelect,0.21,0.75,0.3,FP2,1.12526464,1,0,0.0880931895335583
BareHandIntenSelect,0.21,0.75,0.3,FP2,5.36088467,1,0,0.0645874937793683
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.12370157,1,0,0.4905921375473517
BareHandIntenSelect,0.21,0.75,0.3,FP3,4.364578,1,0,0.5104013198650482
BareHandIntenSelect,0.21,0.75,0.3,FP3,2.50053835,0,1,3.7605116280554713
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.05613565,1,0,0.0105752414777869
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.555462,0,1,0.6075779220106964
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.47316623,1,0,0.2380770840792921
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.80500388,0,1,1.6414173864000698
BareHandIntenSelect,0.21,0.75,0.3,FP3,2.45787549,0,1,0.4921944131999625
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.806324,1,0,0.2312678375877071
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.5383215,1,0,0.5723640480620856
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.33329606,1,0,0.4154787701128301
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.50172567,0,1,1.2270663956543404
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.612154961,1,0,0.0572193506885499
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.7911032,0,1,0.0775523045942749
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.43038571,1,0,0.180986880096045
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.8892208,1,0,0.1123848516720021
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.7907078,1,0,0.3428227477006794
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.805518031,0,1,0.9795115239065112
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.23699892,1,0,0.0746722542125753
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.85809934,1,0,0.1375269122435803
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.33579159,0,0,0.1254472004415503
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.01405954,1,0,0.0104698932201379
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.29211235,1,0,0.2680932553408689
BareHandIntenSelect,0.21,0.75,0.3,FP3,1.194315,0,0,0.3589057486400552
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.7074934,1,0,0.2431101084453479
BareHandIntenSelect,0.21,0.75,0.3,FP3,0.80637753,1,0,0.0974343764070926
BareHandIntenSelect,0.21,0.75,0.3,FP3,2.721904,1,0,0.0639431739675311
BareHandIntenSelect,0.21,0.75,0.3,FP4,2.16691256,0,0,1.4220014723545826
