technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
ControllerIntenSelect,0.07,0.75,0.3,FP19,0.7837143903333333,1.0,0.0,0.3328353872783869
ControllerIntenSelect,0.07,0.75,0.3,FP2,0.793323403875,1.0,0.0,0.3532956260465875
ControllerIntenSelect,0.07,0.75,0.3,FP2,0.907019441,0.8888888888888888,0.1111111111111111,0.3261867299946354
ControllerIntenSelect,0.07,0.75,0.3,FP2,0.6947041735454544,0.7272727272727273,0.2727272727272727,0.449780670650835
ControllerIntenSelect,0.07,0.75,0.3,FP20,0.7482842074285714,0.8571428571428571,0.1428571428571428,0.9274764536314388
ControllerIntenSelect,0.07,0.75,0.3,FP20,0.8891434935714287,0.8571428571428571,0.1428571428571428,0.651740272759264
ControllerIntenSelect,0.07,0.75,0.3,FP21,0.9169344215714286,0.8571428571428571,0.1428571428571428,0.2964555948237403
ControllerIntenSelect,0.07,0.75,0.3,FP21,0.7046118476666666,1.0,0.0,0.1873126188213822
ControllerIntenSelect,0.07,0.75,0.3,FP21,0.816646406625,0.75,0.25,0.2572795612885312
ControllerIntenSelect,0.07,0.75,0.3,FP22,1.0750477837142858,0.8571428571428571,0.1428571428571428,0.1111221505596271
ControllerIntenSelect,0.07,0.75,0.3,FP22,0.6525544194999999,1.0,0.0,0.2723406502623883
ControllerIntenSelect,0.07,0.75,0.3,FP22,0.8226339615,0.75,0.125,0.2416597079111234
ControllerIntenSelect,0.07,0.75,0.3,FP23,0.4004402407777778,0.6666666666666666,0.2222222222222222,0.5190151332050069
ControllerIntenSelect,0.07,0.75,0.3,FP23,0.4841703359999999,0.6666666666666666,0.1111111111111111,1.1153569351300716
ControllerIntenSelect,0.07,0.75,0.3,FP23,0.6946265587500001,0.75,0.125,0.4562122262240099
ControllerIntenSelect,0.07,0.75,0.3,FP24,0.8909554123333333,1.0,0.0,0.3486770704200083
ControllerIntenSelect,0.07,0.75,0.3,FP24,0.9807595833333336,1.0,0.0,0.4070305839891401
ControllerIntenSelect,0.07,0.75,0.3,FP24,0.9678948915714286,0.8571428571428571,0.1428571428571428,0.534843395436243
ControllerIntenSelect,0.07,0.75,0.3,FP3,0.7326815345714286,0.8571428571428571,0.1428571428571428,0.4415613063092679
ControllerIntenSelect,0.07,0.75,0.3,FP3,0.7482508976666665,1.0,0.0,0.3052362124064241
ControllerIntenSelect,0.07,0.75,0.3,FP3,0.7512063701666666,1.0,0.0,0.359598699560112
ControllerIntenSelect,0.07,0.75,0.3,FP4,0.9376955088333332,1.0,0.0,0.2298073761275754
ControllerIntenSelect,0.07,0.75,0.3,FP4,1.0506256491666666,1.0,0.0,0.2640409373815582
ControllerIntenSelect,0.07,0.75,0.3,FP4,0.7958489371666667,1.0,0.0,0.2169167654320299
ControllerIntenSelect,0.07,0.75,0.3,FP5,1.1529107618571428,0.8571428571428571,0.0,0.3278223129210399
ControllerIntenSelect,0.07,0.75,0.3,FP5,1.0675214165,1.0,0.0,0.5396255261757567
ControllerIntenSelect,0.07,0.75,0.3,FP5,1.0506867978333334,1.0,0.0,0.5331090107679903
ControllerIntenSelect,0.07,0.75,0.3,FP6,0.7923630806666667,1.0,0.0,0.1308052279811208
ControllerIntenSelect,0.07,0.75,0.3,FP6,0.664137432,1.0,0.0,0.1044799787083835
ControllerIntenSelect,0.07,0.75,0.3,FP6,0.5979702901666667,1.0,0.0,0.2416079986887988
ControllerIntenSelect,0.07,0.75,0.3,FP7,0.9570057451666668,1.0,0.0,0.4224107449389511
ControllerIntenSelect,0.07,0.75,0.3,FP7,0.8307099474999999,1.0,0.0,0.4828602249731318
ControllerIntenSelect,0.07,0.75,0.3,FP7,0.7709472512857142,0.8571428571428571,0.1428571428571428,0.4389047454533493
ControllerIntenSelect,0.07,0.75,0.3,FP8,0.911039578,0.8571428571428571,0.1428571428571428,0.3608518332206207
ControllerIntenSelect,0.07,0.75,0.3,FP8,0.767737214909091,0.5454545454545454,0.2727272727272727,0.4182735600370434
ControllerIntenSelect,0.07,0.75,0.3,FP8,0.7315268652857142,0.8571428571428571,0.1428571428571428,0.3513826573861561
ControllerIntenSelect,0.07,0.75,0.3,FP9,1.0669757080000002,1.0,0.0,0.2313647944671115
ControllerIntenSelect,0.07,0.75,0.3,FP9,0.888349643375,0.75,0.25,0.8380771626324269
ControllerIntenSelect,0.07,0.75,0.5,FP1,0.670371695125,1.0,0.0,0.2437860988018825
